word,frequency
00૮,19
01-01-2020,19
04677,19
06334,19
06734,19
0700,19
0844,19
089,19
09103,19
09202,19
09252,19
09257,19
09258,19
09261,19
1,049,19
1,079,19
1,083,19
1,13,85,339,19
1,138,19
1,158,19
1,162,19
1,168,19
1,21,461,19
1,216,19
1,219,19
1,224,19
1,281,19
1,286,19
1,30,19
1,367,19
1,404,19
1,43,000,19
1,44,900,19
1,451,19
1,46,92,136,19
1,478,19
1,48,266,19
1,50,336,19
1,505,19
1,526,19
1,537,19
1,544,19
1,545,19
1,569,19
1,58,000,19
1,58,725,19
1,595,19
1,61,736,19
1,634,19
1,638,19
1,656,19
1,708,19
1,716,19
1,718,19
1,739,19
1,76,051,19
1,765,19
1,812,19
1,822,19
1,92,982,19
1,943,19
1,955,19
10,018,19
10,116,19
10,290,19
10,362,19
10,480,19
10,585,19
10,660,19
10,887,19
10/05/2021,19
100,200,19
10074,19
10080,19
10088,19
11,11,111,19
11,173,19
11,344,19
11,356,19
11,670,19
11323,19
1150.,19
11578,19
1162.,19
11એ,19
12,059,19
12,360,19
12,490,19
12-10-2021,19
12100,19
12212,19
127,000,19
127,200,19
12881,19
13,021,19
13,085,19
13,596,19
13/09/2021,19
1300.,19
13285,19